stage,trial,status,score,quality_gap,task_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,protocol_rejections,first_full_schedule,first_full_valid,first_full_score,observation,source
4,1,success,20,0,2,144,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-4/trial-01/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-01
4,2,success,20,0,6,145,1,0,0,4,4,72,0,"0,6,10",False,,/tmp/arc30-22772406666b/structured-audit-01-05/stage-4/trial-02/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-02
4,3,success,20,0,3,144,0,0,0,0,0,72,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-4/trial-03/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-03
4,4,success,20,0,2,144,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-4/trial-04/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-04
4,5,success,20,0,2,144,0,0,0,0,0,72,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-4/trial-05/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-05
5,1,success,20,0,3,146,0,0,0,0,0,74,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-5/trial-01/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-01
5,2,success,20,0,2,144,0,0,0,0,0,72,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-5/trial-02/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-02
5,3,success,20,0,6,145,1,0,0,0,0,74,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-5/trial-03/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-03
5,4,success,20,0,4,144,0,0,0,1,1,72,0,"4,6,10",True,18,/tmp/arc30-22772406666b/structured-audit-01-05/stage-5/trial-04/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-04
5,5,success,20,0,3,144,0,0,0,0,0,0,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-5/trial-05/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-05
6,1,success,20,0,4,143,1,0,0,0,0,72,1,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-6/trial-01/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-01
6,2,success,20,0,4,125,0,0,0,0,0,2,0,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-6/trial-02/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-02
6,3,success,20,0,5,146,0,0,0,0,0,72,1,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-6/trial-03/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-03
6,4,success,20,0,4,144,0,0,0,0,0,72,1,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-6/trial-04/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-04
6,5,success,20,0,5,145,0,0,0,2,2,0,3,"1,6,10",True,20,/tmp/arc30-22772406666b/structured-audit-01-05/stage-6/trial-05/observation.md,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-05
